fc_code,name,banding,manager_fc_code,as_of,commission_ytd,gr_ytd,premium_ytd,wape_ytd,mdrt_commission_ytd,mdrt_commission_risk_ytd,mdrt_premium_ytd,mdrt_premium_risk_ytd,pending_commission,pending_premium,elite_credits_ytd,rnf_date
FC000,Jonathan Koh,B5,,2026-01-31,10369,14813,16700,16700,10369,10369,16700,16700,0,0,14813,
FC000,Jonathan Koh,B5,,2026-02-28,10369,14813,16700,16700,10369,10369,16700,16700,0,0,14813,
FC000,Jonathan Koh,B5,,2026-03-31,10369,14813,16700,16700,10369,10369,16700,16700,0,0,14813,
FC000,Jonathan Koh,B5,,2026-04-30,10369,14813,16700,16700,10369,10369,16700,16700,0,0,14813,
FC000,Jonathan Koh,B5,,2026-05-31,10369,14813,16700,16700,10369,10369,16700,16700,0,0,14813,
FC000,Jonathan Koh,B5,,2026-06-30,11172,15960,111700,26200,11172,10369,22400,16700,0,0,15960,
FC000,Jonathan Koh,B5,,2026-07-31,11172,15960,111700,26200,11172,10369,22400,16700,0,0,15960,
FC000,Jonathan Koh,B5,,2026-08-31,11172,15960,111700,26200,11172,10369,22400,16700,0,0,15960,
FC001,Tan Wei Lun,B3,FC000,2026-01-31,4836,9672,10400,10400,4836,4836,10400,10400,0,0,9672,
FC001,Tan Wei Lun,B3,FC000,2026-02-28,7400,14800,15600,15600,7400,7400,15600,15600,0,0,14800,
FC001,Tan Wei Lun,B3,FC000,2026-03-31,7400,14800,15600,15600,7400,7400,15600,15600,0,0,14800,
FC001,Tan Wei Lun,B3,FC000,2026-04-30,9428,18856,21000,21000,9428,9428,21000,21000,0,0,18856,
FC001,Tan Wei Lun,B3,FC000,2026-05-31,17692,35384,186000,51000,17692,16435,45000,36000,0,0,35384,
FC001,Tan Wei Lun,B3,FC000,2026-06-30,21573,43146,290700,65700,21573,20316,55700,46700,0,0,43146,
FC001,Tan Wei Lun,B3,FC000,2026-07-31,22878,45756,297200,72200,22878,21621,62200,53200,0,0,45756,
FC001,Tan Wei Lun,B3,FC000,2026-08-31,25062,50124,301900,76900,25062,23804,66900,57900,9174,19200,50124,
FC002,Nur Aisyah Rahim,B2,FC000,2026-01-31,0,0,0,0,0,0,0,0,0,0,0,
FC002,Nur Aisyah Rahim,B2,FC000,2026-02-28,2529,6322,9100,9100,2529,2529,9100,9100,0,0,6322,
FC002,Nur Aisyah Rahim,B2,FC000,2026-03-31,2529,6322,9100,9100,2529,2529,9100,9100,0,0,6322,
FC002,Nur Aisyah Rahim,B2,FC000,2026-04-30,2529,6322,9100,9100,2529,2529,9100,9100,0,0,6322,
FC002,Nur Aisyah Rahim,B2,FC000,2026-05-31,4814,12035,15300,15300,4814,4814,15300,15300,0,0,12035,
FC002,Nur Aisyah Rahim,B2,FC000,2026-06-30,4814,12035,15300,15300,4814,4814,15300,15300,0,0,12035,
FC002,Nur Aisyah Rahim,B2,FC000,2026-07-31,4814,12035,15300,15300,4814,4814,15300,15300,0,0,12035,
FC002,Nur Aisyah Rahim,B2,FC000,2026-08-31,6235,15588,18700,18700,6235,6235,18700,18700,0,0,15588,
FC003,Rachel Lim,B4,FC000,2026-01-31,0,0,0,0,0,0,0,0,0,0,0,
FC003,Rachel Lim,B4,FC000,2026-02-28,1885,3142,75000,7500,1885,1885,4500,4500,0,0,3142,
FC003,Rachel Lim,B4,FC000,2026-03-31,1885,3142,75000,7500,1885,1885,4500,4500,0,0,3142,
FC003,Rachel Lim,B4,FC000,2026-04-30,8818,14697,87200,19700,8818,8818,16700,16700,0,0,14697,
FC003,Rachel Lim,B4,FC000,2026-05-31,8818,14697,87200,19700,8818,8818,16700,16700,0,0,14697,
FC003,Rachel Lim,B4,FC000,2026-06-30,8818,14697,87200,19700,8818,8818,16700,16700,0,0,14697,
FC003,Rachel Lim,B4,FC000,2026-07-31,15432,25720,110700,43200,15432,15432,40200,40200,0,0,25720,
FC003,Rachel Lim,B4,FC000,2026-08-31,25126,41877,127700,60200,25126,25126,57200,57200,0,0,41877,
FC004,Marcus Ong,B1,FC000,2026-01-31,0,0,0,0,0,0,0,0,0,0,0,2025-03-03
FC004,Marcus Ong,B1,FC000,2026-02-28,0,0,0,0,0,0,0,0,0,0,0,2025-03-03
FC004,Marcus Ong,B1,FC000,2026-03-31,921,3070,3600,3600,921,921,3600,3600,0,0,3070,2025-03-03
FC004,Marcus Ong,B1,FC000,2026-04-30,921,3070,3600,3600,921,921,3600,3600,0,0,3070,2025-03-03
FC004,Marcus Ong,B1,FC000,2026-05-31,921,3070,3600,3600,921,921,3600,3600,0,0,3070,2025-03-03
FC004,Marcus Ong,B1,FC000,2026-06-30,921,3070,3600,3600,921,921,3600,3600,0,0,3070,2025-03-03
FC004,Marcus Ong,B1,FC000,2026-07-31,1943,6477,7000,7000,1943,1943,7000,7000,0,0,6477,2025-03-03
FC004,Marcus Ong,B1,FC000,2026-08-31,1943,6477,7000,7000,1943,1943,7000,7000,0,0,6477,2025-03-03
FC005,Devi Rajan,B3,FC000,2026-01-31,0,0,0,0,0,0,0,0,0,0,0,
FC005,Devi Rajan,B3,FC000,2026-02-28,0,0,0,0,0,0,0,0,0,0,0,
FC005,Devi Rajan,B3,FC000,2026-03-31,728,1456,95000,9500,728,0,5700,0,0,0,1456,
FC005,Devi Rajan,B3,FC000,2026-04-30,728,1456,95000,9500,728,0,5700,0,0,0,1456,
FC005,Devi Rajan,B3,FC000,2026-05-31,7474,14948,108900,23400,7474,6746,19600,13900,0,0,14948,
FC005,Devi Rajan,B3,FC000,2026-06-30,7474,14948,108900,23400,7474,6746,19600,13900,0,0,14948,
FC005,Devi Rajan,B3,FC000,2026-07-31,7474,14948,108900,23400,7474,6746,19600,13900,0,0,14948,
FC005,Devi Rajan,B3,FC000,2026-08-31,7474,14948,108900,23400,7474,6746,19600,13900,1982,4400,14948,
